trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,5,44.31413500010967,44.31413500010967,0.017997900024056435,[-0.3],[0.045],[1],[0],[0],[1.6563366996124387],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
1,0,1,0,10,46.08948090020567,46.08948090020567,0.13017950020730495,[-0.485],[0.10375],[1],[0],[0],[2.4415317000821233],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
2,0,2,0,10,48.601581499911845,48.601581499911845,0.05740709975361824,[0.31],[0.07125],[1],[0],[0],[2.1341615999117494],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
3,0,3,0,5,50.778934800066054,50.778934800066054,0.03435910027474165,[-0.23375],[-0.0075],[1],[0],[0],[1.208016799762845],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
4,0,4,0,10,52.05516010057181,52.05516010057181,0.05918690003454685,[0.04],[0.35375],[1],[0],[0],[1.8143290001899004],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
5,0,5,0,10,53.93769020028412,53.93769020028412,0.05997760035097599,[0.105],[0.01125],[1],[0],[0],[1.5154197001829743],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
6,0,6,0,10,55.52097330056131,55.52097330056131,0.059718200005590916,[-0.44],[-0.40125],[1],[0],[0],[2.2316350992769003],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
7,0,7,0,5,57.794520400464535,57.794520400464535,0.03660089988261461,[-0.045],[0.13625],[1],[0],[0],[1.3383345995098352],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
8,0,8,0,10,59.20690520014614,59.20690520014614,0.06005499977618456,[-0.08375],[-0.425],[1],[0],[0],[2.0393128003925085],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
9,0,9,0,5,61.28609499987215,61.28609499987215,0.034580799750983715,[0.24125],[-0.2425],[1],[0],[0],[1.4805830996483564],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
10,0,10,0,5,62.80950430035591,62.80950430035591,0.034318000078201294,[-0.1625],[-0.04875],[1],[0],[0],[1.441114000044763],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
11,0,11,0,5,64.294255300425,64.294255300425,0.03419660031795502,[0.24375],[-0.0825],[1],[0],[0],[1.370962900109589],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
12,0,12,0,5,65.71213559992611,65.71213559992611,0.03510669991374016,[-0.1025],[-0.295],[1],[0],[0],[1.374234700575471],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
13,0,13,0,10,67.15549580007792,67.15549580007792,0.05913789942860603,[0.44],[0.47375],[1],[0],[0],[6.163815699517727],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
14,0,14,0,5,73.35932500008494,73.35932500008494,0.03453789930790663,[0.42375],[-0.405],[1],[0],[0],[2.5890114000067115],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
15,0,15,0,5,75.99159510061145,75.99159510061145,0.03433350007981062,[-0.31375],[0.3],[1],[0],[0],[1.342095399275422],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
16,0,16,0,5,77.3760087005794,77.3760087005794,0.0340684000402689,[0.25375],[0.21125],[1],[0],[0],[2.007019500248134],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
17,0,17,0,10,79.45424780063331,79.45424780063331,0.05855660047382116,[0.0875],[0.26125],[1],[0],[0],[1.6483553992584348],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
18,0,18,0,10,81.17115349974483,81.17115349974483,0.059409099631011486,[0.23625],[-0.1525],[1],[0],[0],[2.0374643998220563],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
19,0,19,0,10,83.26956850010902,83.26956850010902,0.0524813998490572,[-0.4225],[0.48],[1],[0],[0],[3.7316815992817283],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
20,0,20,0,5,87.04234859999269,87.04234859999269,0.03452409990131855,[0.49375],[0.17875],[1],[0],[0],[1.908390499651432],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
21,0,21,0,5,89.01477930042893,89.01477930042893,0.03568349964916706,[-0.23],[0.28875],[1],[0],[0],[1.3672193000093102],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
22,0,22,0,5,90.41207700036466,90.41207700036466,0.03663549944758415,[-0.00625],[-0.13125],[1],[0],[0],[1.5542379999533296],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
23,0,23,0,10,92.04529680032283,92.04529680032283,0.062413900159299374,[0.0625],[-0.4375],[1],[0],[0],[1.4236332001164556],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
24,0,24,0,10,93.53678460046649,93.53678460046649,0.058529299683868885,[0.41375],[0.295],[1],[0],[0],[3.2976564997807145],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
25,0,25,0,5,96.87799930013716,96.87799930013716,0.034590499475598335,[-0.37875],[-0.26125],[1],[0],[0],[1.678537699393928],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
